invoice_id,usage_start_date,usage_end_date,service_name,usage_type,unblended_cost,currency,resource_tags
INV-2025-07,2025-07-06 00:00:00,2025-07-06 23:59:59,AmazonS3,S3:Storage-GB,19.95,USD,"{""Application"":""Shared"",""Environment"":""Prod""}"
INV-2025-07,2025-07-06 00:00:00,2025-07-06 23:59:59,AmazonS3,S3:Requests-Tier1,142.19,USD,"{""Application"":""Shared"",""Environment"":""Prod""}"
INV-2025-07,2025-07-06 00:00:00,2025-07-06 23:59:59,AWSKMS,KMS:Requests,62.26,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-06 00:00:00,2025-07-06 23:59:59,AWSKMS,KMS:KeyUsage,69.13,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-07 00:00:00,2025-07-07 23:59:59,AmazonEC2,USE1-BoxUsage:t3.medium,32.91,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-07 00:00:00,2025-07-07 23:59:59,AmazonEC2,EBS:VolumeUsage.gp2,92.02,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-07 00:00:00,2025-07-07 23:59:59,AmazonRDS,RDS:Multi-AZUsage,38.6,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-07 00:00:00,2025-07-07 23:59:59,AmazonRDS,RDS:StorageUsage.gp2,126.73,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-07 00:00:00,2025-07-07 23:59:59,AmazonEKS,EKS:PerCluster-Hours,42.7,USD,"{""Application"":""AppC"",""Environment"":""Dev""}"
INV-2025-07,2025-07-07 00:00:00,2025-07-07 23:59:59,AmazonEKS,EC2:CPU-Hours,89.68,USD,"{""Application"":""AppC"",""Environment"":""Dev""}"
INV-2025-07,2025-07-07 00:00:00,2025-07-07 23:59:59,AmazonS3,S3:Storage-GB,51.04,USD,"{""Application"":""Shared"",""Environment"":""Prod""}"
INV-2025-07,2025-07-07 00:00:00,2025-07-07 23:59:59,AmazonS3,S3:Requests-Tier1,119.38,USD,"{""Application"":""Shared"",""Environment"":""Prod""}"
INV-2025-07,2025-07-07 00:00:00,2025-07-07 23:59:59,AWSKMS,KMS:Requests,65.38,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-07 00:00:00,2025-07-07 23:59:59,AWSKMS,KMS:KeyUsage,6.42,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-08 00:00:00,2025-07-08 23:59:59,AmazonEC2,USE1-BoxUsage:t3.medium,51.18,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-08 00:00:00,2025-07-08 23:59:59,AmazonEC2,EBS:VolumeUsage.gp2,9.96,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-08 00:00:00,2025-07-08 23:59:59,AmazonRDS,RDS:Multi-AZUsage,105.77,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-08 00:00:00,2025-07-08 23:59:59,AmazonRDS,RDS:StorageUsage.gp2,49.01,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-08 00:00:00,2025-07-08 23:59:59,AmazonEKS,EKS:PerCluster-Hours,24.23,USD,"{""Application"":""AppC"",""Environment"":""Dev""}"
INV-2025-07,2025-07-08 00:00:00,2025-07-08 23:59:59,AmazonEKS,EC2:CPU-Hours,24.13,USD,"{""Application"":""AppC"",""Environment"":""Dev""}"
INV-2025-07,2025-07-08 00:00:00,2025-07-08 23:59:59,AmazonS3,S3:Storage-GB,102.39,USD,"{""Application"":""Shared"",""Environment"":""Prod""}"
INV-2025-07,2025-07-08 00:00:00,2025-07-08 23:59:59,AmazonS3,S3:Requests-Tier1,40.21,USD,"{""Application"":""Shared"",""Environment"":""Prod""}"
INV-2025-07,2025-07-08 00:00:00,2025-07-08 23:59:59,AWSKMS,KMS:Requests,34.41,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-08 00:00:00,2025-07-08 23:59:59,AWSKMS,KMS:KeyUsage,129.32,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-09 00:00:00,2025-07-09 23:59:59,AmazonEC2,USE1-BoxUsage:t3.medium,78.76,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-09 00:00:00,2025-07-09 23:59:59,AmazonEC2,EBS:VolumeUsage.gp2,50.82,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-09 00:00:00,2025-07-09 23:59:59,AmazonRDS,RDS:Multi-AZUsage,56.51,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-09 00:00:00,2025-07-09 23:59:59,AmazonRDS,RDS:StorageUsage.gp2,124.24,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-09 00:00:00,2025-07-09 23:59:59,AmazonEKS,EKS:PerCluster-Hours,60.13,USD,"{""Application"":""AppC"",""Environment"":""Dev""}"
INV-2025-07,2025-07-09 00:00:00,2025-07-09 23:59:59,AmazonEKS,EC2:CPU-Hours,28.45,USD,"{""Application"":""AppC"",""Environment"":""Dev""}"
INV-2025-07,2025-07-09 00:00:00,2025-07-09 23:59:59,AmazonS3,S3:Storage-GB,137.45,USD,"{""Application"":""Shared"",""Environment"":""Prod""}"
INV-2025-07,2025-07-09 00:00:00,2025-07-09 23:59:59,AmazonS3,S3:Requests-Tier1,42.39,USD,"{""Application"":""Shared"",""Environment"":""Prod""}"
INV-2025-07,2025-07-09 00:00:00,2025-07-09 23:59:59,AWSKMS,KMS:Requests,103.37,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-09 00:00:00,2025-07-09 23:59:59,AWSKMS,KMS:KeyUsage,74.05,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-10 00:00:00,2025-07-10 23:59:59,AmazonEC2,USE1-BoxUsage:t3.medium,26.81,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-10 00:00:00,2025-07-10 23:59:59,AmazonEC2,EBS:VolumeUsage.gp2,38.79,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-10 00:00:00,2025-07-10 23:59:59,AmazonRDS,RDS:Multi-AZUsage,48.74,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-10 00:00:00,2025-07-10 23:59:59,AmazonRDS,RDS:StorageUsage.gp2,124.44,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-10 00:00:00,2025-07-10 23:59:59,AmazonEKS,EKS:PerCluster-Hours,125.64,USD,"{""Application"":""AppC"",""Environment"":""Dev""}"
INV-2025-07,2025-07-10 00:00:00,2025-07-10 23:59:59,AmazonEKS,EC2:CPU-Hours,91.31,USD,"{""Application"":""AppC"",""Environment"":""Dev""}"
INV-2025-07,2025-07-10 00:00:00,2025-07-10 23:59:59,AmazonS3,S3:Storage-GB,105.34,USD,"{""Application"":""Shared"",""Environment"":""Prod""}"
INV-2025-07,2025-07-10 00:00:00,2025-07-10 23:59:59,AmazonS3,S3:Requests-Tier1,19.48,USD,"{""Application"":""Shared"",""Environment"":""Prod""}"
INV-2025-07,2025-07-10 00:00:00,2025-07-10 23:59:59,AWSKMS,KMS:Requests,31.16,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-10 00:00:00,2025-07-10 23:59:59,AWSKMS,KMS:KeyUsage,127.7,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
